Code,Area,Year,Measure,Value
E09000001,City of London,1995,Median,105000
E09000002,Barking and Dagenham,1995,Median,49000
E09000003,Barnet,1995,Median,85500
E09000004,Bexley,1995,Median,62000
E09000005,Brent,1995,Median,68000
E09000006,Bromley,1995,Median,76850
E09000007,Camden,1995,Median,114000
E09000008,Croydon,1995,Median,60000
E09000009,Ealing,1995,Median,75000
E09000010,Enfield,1995,Median,66000
E09000011,Greenwich,1995,Median,61500
E09000012,Hackney,1995,Median,61975
E09000013,Hammersmith and Fulham,1995,Median,109950
E09000014,Haringey,1995,Median,66500
E09000015,Harrow,1995,Median,79975
E09000016,Havering,1995,Median,66375
E09000017,Hillingdon,1995,Median,71000
E09000018,Hounslow,1995,Median,73000
E09000019,Islington,1995,Median,95000
E09000020,Kensington and Chelsea,1995,Median,173000
E09000021,Kingston upon Thames,1995,Median,81000
E09000022,Lambeth,1995,Median,66000
E09000023,Lewisham,1995,Median,55998
E09000024,Merton,1995,Median,74500
E09000025,Newham,1995,Median,46750
E09000026,Redbridge,1995,Median,67995
E09000027,Richmond upon Thames,1995,Median,108000
E09000028,Southwark,1995,Median,71000
E09000029,Sutton,1995,Median,67000
E09000030,Tower Hamlets,1995,Median,67500
E09000031,Waltham Forest,1995,Median,55000
E09000032,Wandsworth,1995,Median,85500
E09000033,Westminster,1995,Median,127550
E13000001,Inner London,1995,Median,79000
E13000002,Outer London,1995,Median,70000
E12000001,North East,1995,Median,42500
E12000002,North West,1995,Median,45000
E12000003,Yorkshire And The Humber,1995,Median,45500
E12000004,East Midlands,1995,Median,45950
E12000005,West Midlands,1995,Median,49500
E12000006,East of England,1995,Median,57500
E12000007,London,1995,Median,72950
E12000008,South East,1995,Median,65000
E12000009,South West,1995,Median,55000
E92000001,England,1995,Median,55000
W92000004,Wales,1995,Median,44000
K04000001,England And Wales,1995,Median,54950
E09000001,City of London,1996,Median,138000
E09000002,Barking and Dagenham,1996,Median,49995
E09000003,Barnet,1996,Median,87000
E09000004,Bexley,1996,Median,65000
E09000005,Brent,1996,Median,73000
E09000006,Bromley,1996,Median,80000
E09000007,Camden,1996,Median,127500
E09000008,Croydon,1996,Median,64500
E09000009,Ealing,1996,Median,80000
E09000010,Enfield,1996,Median,70000
E09000011,Greenwich,1996,Median,64000
E09000012,Hackney,1996,Median,66000
E09000013,Hammersmith and Fulham,1996,Median,122000
E09000014,Haringey,1996,Median,71950
E09000015,Harrow,1996,Median,82500
E09000016,Havering,1996,Median,68500
E09000017,Hillingdon,1996,Median,72500
E09000018,Hounslow,1996,Median,73000
E09000019,Islington,1996,Median,102250
E09000020,Kensington and Chelsea,1996,Median,195000
E09000021,Kingston upon Thames,1996,Median,86000
E09000022,Lambeth,1996,Median,75000
E09000023,Lewisham,1996,Median,57500
E09000024,Merton,1996,Median,80000
E09000025,Newham,1996,Median,50000
E09000026,Redbridge,1996,Median,71000
E09000027,Richmond upon Thames,1996,Median,118500
E09000028,Southwark,1996,Median,72950
E09000029,Sutton,1996,Median,69000
E09000030,Tower Hamlets,1996,Median,77000
E09000031,Waltham Forest,1996,Median,56000
E09000032,Wandsworth,1996,Median,94000
E09000033,Westminster,1996,Median,133000
E13000001,Inner London,1996,Median,86783
E13000002,Outer London,1996,Median,73500
E12000001,North East,1996,Median,44500
E12000002,North West,1996,Median,46450
E12000003,Yorkshire And The Humber,1996,Median,46500
E12000004,East Midlands,1996,Median,47450
E12000005,West Midlands,1996,Median,51000
E12000006,East of England,1996,Median,58900
E12000007,London,1996,Median,77000
E12000008,South East,1996,Median,68500
E12000009,South West,1996,Median,57250
E92000001,England,1996,Median,57500
W92000004,Wales,1996,Median,45000
K04000001,England And Wales,1996,Median,57000
E09000001,City of London,1997,Median,132000
E09000002,Barking and Dagenham,1997,Median,53500
E09000003,Barnet,1997,Median,100000
E09000004,Bexley,1997,Median,71000
E09000005,Brent,1997,Median,83500
E09000006,Bromley,1997,Median,86000
E09000007,Camden,1997,Median,145000
E09000008,Croydon,1997,Median,71025
E09000009,Ealing,1997,Median,90000
E09000010,Enfield,1997,Median,78000
E09000011,Greenwich,1997,Median,66000
E09000012,Hackney,1997,Median,77000
E09000013,Hammersmith and Fulham,1997,Median,136000
E09000014,Haringey,1997,Median,81000
E09000015,Harrow,1997,Median,94159
E09000016,Havering,1997,Median,74000
E09000017,Hillingdon,1997,Median,79925
E09000018,Hounslow,1997,Median,80000
E09000019,Islington,1997,Median,119000
E09000020,Kensington and Chelsea,1997,Median,225000
E09000021,Kingston upon Thames,1997,Median,94950
E09000022,Lambeth,1997,Median,85000
E09000023,Lewisham,1997,Median,64000
E09000024,Merton,1997,Median,84950
E09000025,Newham,1997,Median,56000
E09000026,Redbridge,1997,Median,76375
E09000027,Richmond upon Thames,1997,Median,136000
E09000028,Southwark,1997,Median,85000
E09000029,Sutton,1997,Median,75000
E09000030,Tower Hamlets,1997,Median,95000
E09000031,Waltham Forest,1997,Median,62000
E09000032,Wandsworth,1997,Median,108125
E09000033,Westminster,1997,Median,160950
E13000001,Inner London,1997,Median,100000
E13000002,Outer London,1997,Median,80000
E12000001,North East,1997,Median,46995
E12000002,North West,1997,Median,49000
E12000003,Yorkshire And The Humber,1997,Median,48950
E12000004,East Midlands,1997,Median,50000
E12000005,West Midlands,1997,Median,54500
E12000006,East of England,1997,Median,63500
E12000007,London,1997,Median,86000
E12000008,South East,1997,Median,74500
E12000009,South West,1997,Median,60000
E92000001,England,1997,Median,60000
W92000004,Wales,1997,Median,47950
K04000001,England And Wales,1997,Median,60000
E09000001,City of London,1998,Median,185000
E09000002,Barking and Dagenham,1998,Median,59995
E09000003,Barnet,1998,Median,114000
E09000004,Bexley,1998,Median,79000
E09000005,Brent,1998,Median,96000
E09000006,Bromley,1998,Median,99995
E09000007,Camden,1998,Median,160000
E09000008,Croydon,1998,Median,79000
E09000009,Ealing,1998,Median,103000
E09000010,Enfield,1998,Median,85000
E09000011,Greenwich,1998,Median,75000
E09000012,Hackney,1998,Median,87500
E09000013,Hammersmith and Fulham,1998,Median,159950
E09000014,Haringey,1998,Median,91000
E09000015,Harrow,1998,Median,107500
E09000016,Havering,1998,Median,82500
E09000017,Hillingdon,1998,Median,89000
E09000018,Hounslow,1998,Median,95000
E09000019,Islington,1998,Median,145000
E09000020,Kensington and Chelsea,1998,Median,245000
E09000021,Kingston upon Thames,1998,Median,109500
E09000022,Lambeth,1998,Median,100000
E09000023,Lewisham,1998,Median,71250
E09000024,Merton,1998,Median,97000
E09000025,Newham,1998,Median,63500
E09000026,Redbridge,1998,Median,85000
E09000027,Richmond upon Thames,1998,Median,159000
E09000028,Southwark,1998,Median,99000
E09000029,Sutton,1998,Median,85000
E09000030,Tower Hamlets,1998,Median,115000
E09000031,Waltham Forest,1998,Median,71000
E09000032,Wandsworth,1998,Median,125000
E09000033,Westminster,1998,Median,177000
E13000001,Inner London,1998,Median,116500
E13000002,Outer London,1998,Median,90000
E12000001,North East,1998,Median,48000
E12000002,North West,1998,Median,50000
E12000003,Yorkshire And The Humber,1998,Median,50000
E12000004,East Midlands,1998,Median,53500
E12000005,West Midlands,1998,Median,57000
E12000006,East of England,1998,Median,69000
E12000007,London,1998,Median,97000
E12000008,South East,1998,Median,83000
E12000009,South West,1998,Median,66500
E92000001,England,1998,Median,66000
W92000004,Wales,1998,Median,49500
K04000001,England And Wales,1998,Median,65000
E09000001,City of London,1999,Median,187000
E09000002,Barking and Dagenham,1999,Median,65000
E09000003,Barnet,1999,Median,135000
E09000004,Bexley,1999,Median,86000
E09000005,Brent,1999,Median,112000
E09000006,Bromley,1999,Median,116500
E09000007,Camden,1999,Median,190000
E09000008,Croydon,1999,Median,89000
E09000009,Ealing,1999,Median,125000
E09000010,Enfield,1999,Median,94000
E09000011,Greenwich,1999,Median,90000
E09000012,Hackney,1999,Median,113000
E09000013,Hammersmith and Fulham,1999,Median,191750
E09000014,Haringey,1999,Median,110000
E09000015,Harrow,1999,Median,124000
E09000016,Havering,1999,Median,90000
E09000017,Hillingdon,1999,Median,104950
E09000018,Hounslow,1999,Median,113000
E09000019,Islington,1999,Median,170000
E09000020,Kensington and Chelsea,1999,Median,285000
E09000021,Kingston upon Thames,1999,Median,129950
E09000022,Lambeth,1999,Median,121000
E09000023,Lewisham,1999,Median,82000
E09000024,Merton,1999,Median,120000
E09000025,Newham,1999,Median,71995
E09000026,Redbridge,1999,Median,97500
E09000027,Richmond upon Thames,1999,Median,183500
E09000028,Southwark,1999,Median,123000
E09000029,Sutton,1999,Median,98125
E09000030,Tower Hamlets,1999,Median,140000
E09000031,Waltham Forest,1999,Median,79995
E09000032,Wandsworth,1999,Median,155000
E09000033,Westminster,1999,Median,220000
E13000001,Inner London,1999,Median,143000
E13000002,Outer London,1999,Median,106000
E12000001,North East,1999,Median,50495
E12000002,North West,1999,Median,53500
E12000003,Yorkshire And The Humber,1999,Median,53000
E12000004,East Midlands,1999,Median,57500
E12000005,West Midlands,1999,Median,60000
E12000006,East of England,1999,Median,76000
E12000007,London,1999,Median,118000
E12000008,South East,1999,Median,92500
E12000009,South West,1999,Median,74000
E92000001,England,1999,Median,74000
W92000004,Wales,1999,Median,53000
K04000001,England And Wales,1999,Median,72950
E09000001,City of London,2000,Median,203000
E09000002,Barking and Dagenham,2000,Median,78000
E09000003,Barnet,2000,Median,159000
E09000004,Bexley,2000,Median,98500
E09000005,Brent,2000,Median,139000
E09000006,Bromley,2000,Median,135000
E09000007,Camden,2000,Median,235000
E09000008,Croydon,2000,Median,110000
E09000009,Ealing,2000,Median,145000
E09000010,Enfield,2000,Median,114000
E09000011,Greenwich,2000,Median,106500
