Code,Area,Abbr
E09000001,City of London,CTY
E09000002,Barking and Dagenham,BAR
E09000003,Barnet,BRN
E09000004,Bexley,BEX
E09000005,Brent,BRT
E09000006,Bromley,BRM
E09000007,Camden,CMD
E09000008,Croydon,CRD
E09000009,Ealing,ELG
E09000010,Enfield,ENF
E09000011,Greenwich,GRN
E09000012,Hackney,HCK
E09000013,Hammersmith and Fulham,HMS
E09000014,Haringey,HGY
E09000015,Harrow,HRW
E09000016,Havering,HVG
E09000017,Hillingdon,HDN
E09000018,Hounslow,HNS
E09000019,Islington,ISL
E09000020,Kensington and Chelsea,KNS
E09000021,Kingston upon Thames,KNG
E09000022,Lambeth,LAM
E09000023,Lewisham,LSH
E09000024,Merton,MRT
E09000025,Newham,NWM
E09000026,Redbridge,RDB
E09000027,Richmond upon Thames,RCH
E09000028,Southwark,SWR
E09000029,Sutton,STN
E09000030,Tower Hamlets,TOW
E09000031,Waltham Forest,WTH
E09000032,Wandsworth,WNS
E09000033,Westminster,WST
